href,salary,position,city,work_year,company
/job_detail/1a65028405d0d4251nVz2921EFdU.html,15-20K·14薪,关卡策划（战棋） (MJ000016),上海,3-5年,紫龙游戏
/job_detail/5275c8c57a5f53e41nF73ti7FFZS.html,15-25K,色彩设计师 (MJ000362),上海,经验不限,紫龙游戏
/job_detail/2d247164612065880HBy29W6FVs~.html,15-25K·14薪,游戏音频策划,上海,1-3年,紫龙游戏
/job_detail/389e31bf2481f2ba1nZ62N-_FlZY.html,15-20K·14薪,关卡策划（战棋） (MJ000016),上海,3-5年,紫龙游戏
/job_detail/a0ba0c16e7da694c0XB82N-7EVY~.html,15-25K·14薪,服务端程序,上海,3-5年,紫龙游戏
/job_detail/5874df29c6bfd55a1nRy392-FVFY.html,40-70K·14薪,图形渲染工程师,上海,5-10年,紫龙游戏
/job_detail/b859dc03e1d995c333Z52N66GFA~.html,40-70K·14薪,图形渲染工程师,上海,5-10年,紫龙游戏
/job_detail/f14fdbfae7325f281nR-2dW9ElRQ.html,20-35K·14薪,服务端程序,上海,3-5年,紫龙游戏
/job_detail/10245c09cbe5c5a01nV80tm-ElBS.html,25-30K·14薪,3D场景组长 (MJ000294),上海,5-10年,紫龙游戏
/job_detail/a9181162e58816d10X1929u5E1I~.html,15-30K·14薪,资深关卡策划（战棋） (MJ000124),上海,3-5年,紫龙游戏
/job_detail/0934b84e34fe09b21nR73tW1EFVQ.html,15-25K·14薪,资深2D场景原画,上海,3-5年,紫龙游戏
/job_detail/2ddb24f6b14a2e823nB739S6Elo~.html,18-35K·14薪,U3D客户端 (MJ000019),上海,经验不限,紫龙游戏
/job_detail/2269b4c07c52595a1nFy3tq9EFpV.html,20-30K·14薪,资深文案策划（日式奇幻文风）,上海,3-5年,紫龙游戏
/job_detail/38f327c0b2809e5e1nV83tS1F1RY.html,25-26K,资深特效设计师 (MJ000231),上海,5-10年,紫龙游戏
/job_detail/9c36062665c03eb71nZ42961FVtZ.html,15-30K·14薪,高级灯光师,上海,5-10年,紫龙游戏
/job_detail/144b4cda8f1edd921nV80tm4EFRT.html,25-35K·14薪,资深场景原画 (MJ000284),上海,5-10年,紫龙游戏
/job_detail/91884df8c0bda3691nZ73d26E1dQ.html,15-30K·14薪,3D建模(角色/场景/地编),上海,3-5年,紫龙游戏
/job_detail/9ede3e678d975f571nV52dS-EFNW.html,18-25K·14薪,招聘经理 (MJ000033),上海,5-10年,紫龙游戏
/job_detail/c50ed78f76b8e3120Hx93dq5E1o~.html,18-35K·14薪,U3D客户端,上海,经验不限,紫龙游戏
/job_detail/e81d1834fb305c0033J-2dS7E1Q~.html,25-35K·14薪,资深场景原画（日系二次元） (MJ000195),上海,5-10年,紫龙游戏
/job_detail/7d7fac65e160384c1nVy3NS8GFBS.html,20-25K,资深3D地编（手绘+PBR） (MJ000068),上海,3-5年,紫龙游戏
/job_detail/380b13f77cba3a0933J-2t66E1A~.html,22-35K·14薪,资深场景原画（日系二次元） (MJ000195),上海,5-10年,紫龙游戏
/job_detail/0fa137fa90ceaf080Xx93Ny0EVc~.html,22-35K·14薪,UI设计师（日系） (MJ000136),上海,3-5年,紫龙游戏
/job_detail/bcadae11ccc6e2a51nR709W7FVdX.html,12-24K·14薪,2D场景原画,上海,3-5年,紫龙游戏
/job_detail/209d845173aa912b0HB70tu6GFA~.html,19-30K·14薪,高级特效设计师（日系）,上海,3-5年,紫龙游戏
/job_detail/0357be14a55416001nR63tW-FVBS.html,25-35K·14薪,技术美术TA,上海,3-5年,紫龙游戏
/job_detail/66429893bae296681nZ429m9F1VY.html,25-50K·14薪,技术美术（TA）,上海,3-5年,紫龙游戏
/job_detail/f9ab51352982ce4933xy29S_FlQ~.html,15-25K·14薪,分镜设计师 (MJ000189),上海,3-5年,紫龙游戏
/job_detail/7533368801bf77e41nd429i0FFZT.html,23-35K·14薪,资深关卡策划（战棋）,上海,经验不限,紫龙游戏
/job_detail/b4bc39af26d6c17c3nV50tm8GVU~.html,20-30K·16薪,高级音效师 (MJ000026),上海,经验不限,紫龙游戏
/job_detail/73e25e212f8d88ff1nZ42960ElRX.html,20-40K·16薪,高级游戏研发（U3D/服务器）,上海,3-5年,紫龙游戏
/job_detail/03e334fc9c8e3e153nR73927FFU~.html,22-23K,3D场景 (MJ000209),上海,3-5年,紫龙游戏
/job_detail/77224e30be52dc5d1nB-3N26GFFT.html,15-30K·14薪,游戏开发（U3D/服务器/图形渲染）,上海,经验不限,紫龙游戏
/job_detail/69180a8bf37c1fcb33xy29-7FVo~.html,25-35K·14薪,资深3D特效 (MJ000202),上海,5-10年,紫龙游戏
/job_detail/26b5f9de3ee9039e0HB73NS8ElY~.html,20-35K·14薪,资深3D地编（写实） (MJ000090),上海,经验不限,紫龙游戏
/job_detail/8c2a24ab1dd6df100Xx93N-1GFA~.html,20-35K·14薪,3D角色（日系） (MJ000130),上海,经验不限,紫龙游戏
/job_detail/9e1e32e39d8485e51nB829q8FlVU.html,15-20K·14薪,系统策划（战棋） (MJ000190),上海,经验不限,紫龙游戏
/job_detail/7d08a3ed51d4406c33F62Ni7EVc~.html,30-60K·16薪,图形渲染开发工程师,上海,3-5年,紫龙游戏
